image,date,level
LBS - Culgoa FP South,1996-01-28,5.10
LBS - Culgoa FP South,2008-02-05,2.43
LBS - Culgoa FP South,2011-01-21,5.16
LBS - Culgoa FP South,2012-02-17,5.16
LBS - Culgoa FP North,1996-01-28,5.32
LBS - Culgoa FP North,2008-02-06,1.71
LBS - Culgoa FP North,2011-01-21,5.38
LBS - Culgoa FP North,2012-02-17,5.10
LBS - Narran River,1996-01-28,3.67
LBS - Narran River,2008-01-29,2.50
LBS - Narran River,2011-01-21,3.93
LBS - Narran River,2012-02-17,2.60
LBS - St George,1996-01-28,6.19
LBS - St George,2008-02-22,1.65
LBS - St George,2011-01-21,9.04
LBS - St George,2012-02-17,2.07
SA - Weir Pool 5,1956-09-09,11.57
SA - Weir Pool 5,2013-10-30,6.34
SA - Weir Pool 5,2016-11-11,8.23
SA - Weir Pool 3,1956-09-09,11.60
SA - Weir Pool 3,2013-10-30,5.44
SA - Weir Pool 3,2016-11-11,7.66
SA - Weir Pool 4,1956-09-09,11.61
SA - Weir Pool 4,2013-10-30,6.76
SA - Weir Pool 4,2016-11-11,8.99
Namoi - DS Mollee,1998-07-24,7.25
Namoi - Boolcarroll,1998-07-24,1.43
Namoi - DS Gunidgera,1998-07-24,10.17
Namoi - Merah North,1998-07-24,3.53
Murray - GKPF,2016-08-18,2.26
