ShortIdentifier,PeakObserved
LBS - Culgoa FP South 1996-01,1996-01-01 00:00:00+11:00
LBS - Culgoa FP South 2008-03,2008-01-01 00:00:00+11:00
LBS - Culgoa FP South 2011-01,2011-01-01 00:00:00+11:00
LBS - Culgoa FP South 2012-03,2012-01-01 00:00:00+11:00
LBS - Culgoa FP North 1996-01,1996-01-01 00:00:00+11:00
LBS - Culgoa FP North 2008-03,2008-01-01 00:00:00+11:00
LBS - Culgoa FP North 2011-01,2011-01-01 00:00:00+11:00
LBS - Culgoa FP North 2012-03,2012-01-01 00:00:00+11:00
LBS - Narran River 1996-01,1996-01-01 00:00:00+11:00
LBS - Narran River 2008-03,2008-01-01 00:00:00+11:00
LBS - Narran River 2011-01,2011-01-01 00:00:00+11:00
LBS - Narran River 2012-03,2012-01-01 00:00:00+11:00
LBS - St George 1996-01,1996-01-01 00:00:00+11:00
LBS - St George 2008-03,2008-01-01 00:00:00+11:00
LBS - St George 2011-01,2011-01-01 00:00:00+11:00
LBS - St George 2012-03,2012-01-01 00:00:00+11:00
SA - Weir Pool 5 2013-11,2013-09-01 00:00:00+10:00
SA - Weir Pool 5 2016-11,2016-11-01 00:00:00+11:00
SA - Weir Pool 3 2013-11,2013-09-01 00:00:00+10:00
SA - Weir Pool 3 2016-11,2016-11-01 00:00:00+11:00
SA - Weir Pool 4 2013-11,2013-09-01 00:00:00+10:00
SA - Weir Pool 4 2016-11,2016-11-01 00:00:00+11:00
Murray - GKPF 2016-07,2016-07-01 00:00:00+10:00
